SYS               DZ     DZ     DZ        TZ     TZ      TZ       QZ      QZ      5Z      5Z      CBS  CBS 
SYS               SCF    MP2    CCSD(T)   SCF    MP2     CCSD(T)  SCF     MP2     SCF     MP2     REF  SCF
01_WaterWater	3.84303	4.78112	4.72405	3.65911	4.84200	4.85417	3.67275	4.91516	3.67085	4.93874	4.99062	3.66981
02_WaterMeOH	3.87493	5.37678	5.25659	3.71200	5.56279	5.52198	3.72871	5.65229	3.72004	5.67596	5.67429	3.71838
03_WaterMeNH2	4.75953	6.65450	6.45428	4.61601	6.92317	6.81580	4.62691	7.02954	4.6184	7.05876	6.99554	4.61638
04_WaterPeptide	5.91560	7.54315	7.54767	5.79533	7.89135	7.98232	5.80352	8.01623	5.79291	8.04521	8.19112	5.79100
05_MeOHMeOH	3.68158	5.56282	5.46346	3.53425	5.73004	5.70148	3.55056	5.80861	3.53825	5.82712	5.82653	3.53716
06_MeOHMeNH2	4.44558	7.36404	7.16251	4.26526	7.58291	7.46636	4.26848	7.67474	4.2567	7.70211	7.62544	4.25525
07_MeOHPeptide	5.34857	7.67071	7.69352	5.23781	8.02126	8.12516	5.24735	8.1346	5.23503	8.16382	8.31303	5.23367
08_MeOHWater	3.67348	4.92610	4.89261	3.49156	4.94187	4.96346	3.50474	5.00319	3.49984	5.02065	5.07077	3.49902
09_MeNH2MeOH	1.02550	2.85706	2.82353	0.92612	3.00303	3.02823	0.91775	3.03244	0.91092	3.045	3.09098	0.91030
10_MeNH2MeNH2	0.97603	3.85320	3.67583	0.91537	4.15620	4.05015	0.92041	4.24392	0.91457	4.2633	4.18941	0.91415
11_MeNH2Peptide	1.61679	5.18946	5.05177	1.50465	5.42671	5.33828	1.49657	5.49802	1.48759	5.51142	5.44213	1.48689
12_MeNH2Water	4.68694	7.04664	6.76565	4.53952	7.35200	7.17029	4.539	7.46082	4.52885	7.48916	7.35978	4.52729
13_PeptideMeOH	3.24638	6.00568	5.84450	3.16449	6.26479	6.17679	3.16245	6.31429	3.14842	6.31832	6.25013	3.14730
14_PeptideMeNH2	3.67657	7.39969	7.13772	3.48655	7.60527	7.42905	3.47973	7.65729	3.46826	7.66787	7.51758	3.46750
15_PeptidePeptide	4.76618	8.33849	8.26438	4.63422	8.62142	8.61709	4.63039	8.67106	4.61661	8.67389	8.68783	4.61542
16_PeptideWater	3.56524	5.06978	5.03529	3.43125	5.11041	5.12760	3.42557	5.13677	3.42038	5.14305	5.17767	3.41951
17_UracilUracilBP	12.91363	16.38521	16.38235	12.87923	17.07854	17.24007	12.88515	17.16416	12.86524	17.16668	17.40285	12.86383
18_WaterPyridine	4.51133	6.77976	6.55837	4.47571	7.03548	6.88889	4.45911	7.06446	4.44436	7.06071	6.92901	4.44272
19_MeOHPyridine	4.32023	7.44222	7.16392	4.28921	7.66491	7.45223	4.26996	7.68099	4.25317	7.67344	7.46465	4.25207
20_AcOHAcOH	15.46353	17.62643	17.72021	15.59287	18.60866	18.89263	15.63159	18.89111	15.61788	18.96888	19.38324	15.61620
21_AcNH2AcNH2	12.43010	15.13050	15.24694	12.30204	15.81263	16.10518	12.33621	16.02895	12.32365	16.08925	16.48515	12.32248
22_AcOHUracil	15.66919	18.26970	18.35376	15.72763	19.14296	19.40163	15.74762	19.33819	15.72989	19.38257	19.74757	15.72826
23_AcNH2Uracil	15.40926	18.12288	18.18693	15.32745	18.86255	19.10709	15.34214	19.03556	15.32577	19.07821	19.42396	15.32436
24_BenzeneBenzenepipi	-3.54412	5.40981	3.57640	-3.85602	5.06431	3.09462	-3.93484	4.82368	-3.95531	4.75485	2.68631	-3.95851
25_PyridinePyridinepipi	-2.92976	6.71569	4.64758	-3.22604	6.32998	4.12648	-3.30509	6.11286	-3.32706	6.04998	3.75954	-3.32971
26_UracilUracilpipi	0.35652	12.47651	11.32598	-0.16483	11.77377	10.38065	-0.32058	11.41737	-0.37067	11.25039	9.71597	-0.37388
27_BenzenePyridinepipi	-3.19055	6.16867	4.22190	-3.51269	5.78065	3.69691	-3.59195	5.54753	-3.61355	5.4807	3.30361	-3.61643
28_BenzeneUracilpipi	-2.75362	8.78468	7.07594	-3.27795	8.07842	6.14000	-3.40038	7.73586	-3.43638	7.61402	5.54519	-3.43958
29_PyridineUracilpipi	-1.49158	9.81314	8.11627	-1.91658	9.12575	7.20353	-2.02987	8.81868	-2.06549	8.70195	6.66097	-2.06843
30_BenzeneEthene	-2.72108	2.44500	1.56824	-2.80287	2.44866	1.49873	-2.84771	2.36427	-2.86088	2.3374	1.34308	-2.86311
31_UracilEthene	-1.23646	4.24969	3.64390	-1.32162	4.18958	3.50218	-1.37225	4.08962	-1.39316	4.03724	3.30574	-1.39478
32_UracilEthyne	-0.21863	4.62998	4.00481	-0.29296	4.57420	3.85157	-0.35672	4.47046	-0.37351	4.43189	3.67461	-0.37514
33_PyridineEthene	-2.47948	2.99280	2.05128	-2.57242	2.94935	1.93392	-2.61264	2.8663	-2.62612	2.83891	1.78443	-2.62791
34_PentanePentane	-3.10285	3.81899	3.52133	-3.33450	3.98621	3.74730	-3.35185	3.98409	-3.35958	3.97351	3.73278	-3.36119
35_NeopentanePentane	-2.15831	2.67144	2.53598	-2.29292	2.69228	2.59592	-2.30443	2.69063	-2.31137	2.68293	2.58272	-2.31239
36_NeopentaneNeopentane	-1.58798	1.81237	1.79493	-1.65371	1.74829	1.76041	-1.66719	1.74788	-1.67318	1.74517	1.75015	-1.67384
37_CyclopentaneNeopentane	-2.15870	2.49552	2.34320	-2.28289	2.52259	2.41059	-2.29783	2.49989	-2.30432	2.49068	2.37528	-2.30567
38_CyclopentaneCyclopentane	-2.38559	3.11433	2.89356	-2.55292	3.22546	3.04688	-2.57188	3.15823	-2.57918	3.13902	2.95676	-2.58057
39_BenzeneCyclopentane	-2.47504	4.95674	3.93971	-2.79643	4.80332	3.73314	-2.84333	4.65387	-2.85939	4.60459	3.48183	-2.86150
40_BenzeneNeopentane	-1.81801	3.89717	3.19027	-2.07290	3.74387	2.99290	-2.11484	3.6515	-2.12789	3.62092	2.82349	-2.12978
41_UracilPentane	-3.06405	5.90084	5.31549	-3.35334	5.72436	5.07276	-3.41731	5.57062	-3.44006	5.49097	4.76826	-3.44274
42_UracilCyclopentane	-2.80720	5.23307	4.67917	-3.07747	5.02018	4.39868	-3.13958	4.83131	-3.16193	4.74627	4.05458	-3.16431
43_UracilNeopentane	-1.86493	4.45952	4.13360	-1.99433	4.28628	3.91069	-2.04287	4.16108	-2.06222	4.09501	3.65954	-2.06409
44_EthenePentane	-1.69337	1.97381	1.77625	-1.79793	2.11623	1.93977	-1.80884	2.14421	-1.8137	2.145	1.97613	-1.81448
45_EthynePentane	-1.34701	2.00791	1.63943	-1.43320	2.10550	1.71527	-1.45708	2.10233	-1.46172	2.10214	1.70387	-1.46276
46_PeptidePentane	-2.50989	4.56044	4.26619	-2.74478	4.60965	4.32414	-2.77653	4.56188	-2.79217	4.52847	4.21593	-2.79420
47_BenzeneBenzeneTS	-1.03318	4.24484	3.39112	-1.37658	3.96719	3.04717	-1.42786	3.81911	-1.44434	3.77127	2.80640	-1.44632
